SampledDate,% Solids (Generated Monthly-MOR),% VOL. RED.,Cake Dry Tons/Day,Dissolved O2 - North,"Dissolved Oxygen, Effluent","Dissolved Oxygen, Influent","Flow(MAX), Influent","Flow, Influent",Hours Bypassed,Peracetic Acid,Qty Wet Sludge Disposed,Qty Wet Sludge Generated,Rainfall,Temperature - DIG.SDG.,Temperature - Effluent,Temperature - Influent,Temperature - North,Volatile Solids Reduction Waste Sludge to Disposal,Weight of Sludge(Dry) Disposed,Weight of Sludge(Dry) Generated,Wet Cake,pH - Effluent (Max),pH - Effluent (Min),pH - Influent
2025-08-01,0.98,,,1.60,6.30,0.90,66.10,49.00,0.00,0.00,87374.00,2287869.00,0.00,20.90,26.80,26.40,28.50,72.32,78.00,85.00,,7.13,7.04,5.30
2025-08-02,,,,5.10,3.30,0.80,57.30,49.20,0.00,0.00,,,0.00,20.90,27.00,26.70,28.70,,,,,7.12,6.99,5.60
2025-08-03,,,,5.2,4.5,1.3,61.9,46.8,0.00,0.00,,,0.00,21.70,26.3,25.7,28.0,,,,,7.12,7.09,5.70
2025-08-04,,,,2.20,5.10,0.90,61.8,49.1,0.00,0.00,,,0.00,21.70,27.1,26.1,28.0,,,,,7.26,7.07,5.60
2025-08-05,,,,2.80,2.90,0.30,61.60,50.60,0.00,0.00,,,T,21.70,27.40,26.40,28.10,,,,,7.08,7.05,4.80
2025-08-06,,,,4.50,1.60,0.30,64.60,52.70,0.00,0.19,,,0.00,21.70,27.60,28.20,28.9,,,,,7.26,7.13,5.55
2025-08-07,,69.00,6.78,3.20,4.80,0.40,95.00,49.10,0.00,0.22,,,0.02,21.70,28.50,28.70,26.50,,,,7.09,7.25,7.13,5.50
2025-08-08,,70.00,9.81,3.50,6.70,2.40,73.00,55.60,0.00,0.04,,,1.01,21.70,26.00,25.30,23.20,,,,10120.00,7.17,7.13,5.42
2025-08-09,,,,6.50,0.30,0.50,61.60,52.50,0.00,0.04,,,0.00,21.70,28.20,27.20,30.0,,,,,7.08,7.02,5.62
2025-08-10,,,,6.60,7.90,0.75,61.90,52.50,0.00,0.00,,,0.00,21.70,28.10,27.20,28.90,,,,,7.13,7.09,5.40
2025-08-11,,,,6.30,5.90,0.60,62.40,52.50,0.00,0.46,,,0.00,21.70,28.40,28.70,29.0,,,,,7.10,7.07,5.50
2025-08-12,,,,1.90,7.90,2.30,62.00,50.20,0.00,0.00,,,0.00,21.70,28.20,27.50,29.20,,,,,6.30,7.20,5.45
2025-08-13,,,,2.50,4.90,0.40,58.40,49.50,0.00,0.00,,,0.01,21.70,28.10,27.00,29.20,,,,,7.27,7.01,5.60
2025-08-14,,,,1.90,7.90,2.30,62.00,50.20,0.00,0.02,,,0.00,21.70,28.20,27.50,29.20,,,,,6.30,6.00,5.45
2025-08-15,,,,1.30,4.60,0.55,55.10,49.50,0.00,0.00,,,0.00,21.70,28.30,29.10,26.70,,,,,7.13,7.05,5.54
2025-08-16,,,,2.70,5.60,0.60,53.70,49.30,0.00,0.02,,,0.00,21.70,29.70,28.00,29.80,,,,,7.20,6.98,5.70
2025-08-17,,,,3.90,6.20,0.50,57.50,47.70,0.00,0.00,,,0.00,21.70,29.40,28.20,29.60,,,,,7.24,7.08,5.86
2025-08-18,,,,1.10,1.20,0.30,62.90,52.00,0.00,0.00,,,0.00,21.70,29.20,28.40,26.80,,,,,7.24,6.92,5.80
2025-08-19,,,,5.00,5.50,0.50,62.20,52.60,0.00,0.00,,,0.00,21.70,29.30,29.00,28.70,,,,,7.31,6.00,5.70
2025-08-20,,,,3.60,6.00,0.40,51.90,50.90,0.00,0.00,,,0.00,21.70,28.30,28.20,30.20,,,,,7.30,7.25,5.77
2025-08-21,,72.00,15.28,4.40,7.50,4.20,52.30,51.50,0.00,0.00,,,0.00,21.70,27.40,26.70,25.20,,,,16338.00,7.27,7.03,5.40
2025-08-22,,74.00,23.53,5.50,7.60,2.50,52.90,51.80,0.00,0.00,,,0.00,21.70,28.00,28.00,24.30,,,,23866.00,7.31,6.82,5.40
2025-08-23,,,,6.00,7.30,0.50,51.80,51.00,0.00,0.00,,,0.00,21.70,26.70,26.30,29.50,,,,,7.26,7.18,5.40
2025-08-24,,,,6.10,7.30,0.50,51.30,50.70,0.00,0.00,,,0.00,21.70,28.40,27.30,29.30,,,,,7.22,7.14,5.40
2025-08-25,,74.00,11.14,5.60,8.90,0.50,51.50,51.10,0.00,0.00,,,T,21.70,26.20,25.90,24.30,,,,12614.00,7.05,7.01,5.61
2025-08-26,,,,4.20,5.90,0.50,52.20,51.20,0.00,0.00,,,T,21.70,26.60,27.30,24.70,,,,,7.14,6.80,5.73
2025-08-27,,76.00,9.84,4.00,6.20,0.30,52.40,51.70,0.00,0.00,,,0.00,21.70,25.90,26.80,28.00,,,,9717.00,7.18,7.03,5.85
2025-08-28,,75.00,7.35,4.80,5.00,0.30,52.70,51.70,0.00,0.00,,,0.01,21.70,25.90,26.00,28.00,,,,7624.00,7.16,7.04,6.00
2025-08-29,,,,4.50,7.70,0.30,52.60,51.80,0.00,0.00,,,0.00,21.70,26.60,27.00,28.00,,,,,7.10,7.00,5.80
2025-08-30,,,,4.20,8.80,0.30,52.30,51.70,0.00,0.00,,,0.00,21.70,27.20,27.40,28.60,,,,,7.12,7.06,6.30
2025-08-31,,,,6.90,9.00,0.50,51.90,51.20,0.00,0.00,,,0.00,21.70,27.90,25.30,28.20,,,,,7.18,7.02,5.77
2025-09-01,1.49,,,7.60,7.40,0.30,52.20,51.60,0.00,0.00,312144.00,5198180.00,T,21.70,26.30,25.40,27.70,75.65,272,294,,7.04,7.00,6.04
2025-09-02,,,,5.40,4.50,0.40,51.90,51.30,0.00,0.02,,,0.07,23.34,26.80,27.50,29.00,,,,,7.45,7.10,6.21
2025-09-03,,76.00,12.70,3.20,4.50,0.30,51.90,51.00,0.00,0.00,,,T,33.70,26.70,25.70,29.00,,,,13416.00,7.42,7.37,6.00
2025-09-04,,77.00,11.22,2.60,1.90,0.20,51.30,50.70,0.00,0.02,,,0.00,23.30,28.10,26.70,29.00,,,,13636.00,7.30,7.27,5.73
2025-09-05,,78.00,41.43,2.40,1.20,0.30,50.90,49.30,0.00,0.00,,,0.00,49.20,27.40,27.40,29.00,,,,45447.00,7.28,6.20,6.23
2025-09-06,,,,5.60,1.20,0.27,48.30,47.40,0.00,0.00,,,0.11,33.00,25.60,25.40,29.00,,,,,7.35,7.30,5.80
2025-09-07,,,,4.80,4.40,0.33,49.40,48.40,0.00,0.00,,,0.00,32.40,26.25,24.97,28.00,,,,,7.32,7.26,5.75
2025-09-08,,75.00,6.47,6.30,4.90,0.40,49.30,49.00,0.00,0.01,,,0.00,33.40,24.90,24.80,29.00,,,,6842.00,7.30,7.15,5.90
2025-09-09,,76.00,69.63,5.10,2.60,0.30,77.20,57.70,0.00,0.00,,,0.00,33.20,26.30,26.10,29.00,,,,74150.00,7.21,7.04,5.80
2025-09-10,,,,2.70,2.42,0.50,65.50,61.60,0.00,0.02,,,0.00,30.70,26.60,26.75,29.00,,,,,7.23,7.17,5.53
2025-09-11,,77.00,23.53,4.50,4.20,0.20,61.20,57.40,0.00,0.00,,,0.00,30.80,27.60,27.00,28.40,,,,23409.00,7.18,7.11,5.60
2025-09-12,,81.00,42.78,2.60,1.24,0.20,62.40,56.20,0.00,0.00,,,0.00,30.90,27.30,27.40,28.90,,,,49365.00,7.29,6.98,6.10
2025-09-13,,,,2.00,4.20,0.76,64.80,51.30,0.00,0.00,,,0.00,30.90,26.50,21.10,29.20,,,,,7.24,7.09,5.48
2025-09-14,,,,1.50,1.50,0.32,51.80,47.90,0.00,0.04,,,0.00,27.00,28.10,26.65,28.60,,,,,7.22,7.09,5.40
2025-09-15,,78.00,62.49,1.80,2.30,0.60,73.80,56.40,0.00,0.00,,,0.24,23.37,28.12,27.10,29.50,,,,59462.00,7.20,7.16,5.32
2025-09-16,,78.00,22.96,5.10,4.20,0.20,68.70,53.20,0.00,0.01,,,0.00,29..30,28.20,28.60,29.30,,,,24401.00,6.87,6.00,5.60
2025-09-17,,79.00,13.82,1.70,3.40,0.23,68.00,52.60,0.00,0.02,,,0.00,31.30,27.50,27.20,29.40,,,,13317.00,7.34,7.22,6.00
2025-09-18,,76.00,21.08,3.60,6.21,1.55,66.00,52.90,0.00,0.01,,,0.00,31.20,27.50,27.20,29.60,,,,20735.00,7.48,6.13,6.50
2025-09-19,,81.00,52.70,5.60,2.20,0.70,66.10,52.20,0.00,0.01,,,0.03,29.90,27.10,26.10,29.50,,,,54599.00,7.37,7.28,5.70
2025-09-20,,,,4.35,3.30,0.30,50.10,49.20,0.00,0.00,,,0.00,21.70,27..10,26.50,24.30,,,,,7.30,7.18,5.63
2025-09-21,,,,5.30,3.40,0.47,50.60,49.50,0.00,0.01,,,0.01,29.20,27.40,26.80,29.40,,,,,7.34,7.27,5.62
2025-09-22,,80.00,14.68,5.00,3.50,0.20,71.10,53.10,0.00,0.00,,,0.11,30.90,26.45,25.56,29.20,,,,16435.00,7.38,7.15,5.72
2025-09-23,,81.00,17.35,5.50,4.70,0.40,72.50,56.00,0.00,0.41,,,1.40,30.90,27.90,26.80,29.30,,,,20376.00,7.32,7.08,5.60
2025-09-24,,68.00,11.13,4.90,3.40,0.35,90.60,61.40,0.00,0.03,,,0.19,29.20,26.52,25.27,29.20,,,,15572.00,7.21,6.89,5.42
2025-09-25,,68.00,7.92,5.50,1.20,0.30,68.50,64.30,0.00,0.00,,,0.18,29.30,25.90,25.50,28.40,,,,8591.00,7.19,6.99,5.90
2025-09-26,,71.00,30.20,3.70,3.70,0.30,63.20,56.50,0.00,0.24,,,0.00,29.10,26.10,26.00,28.40,,,,30306.00,7.23,7.15,5.70
2025-09-27,,72.00,26.82,4.40,1.90,0.20,56.70,51.70,0.00,0.21,,,0.00,21.90,26.40,25.80,26.80,,,,26648.00,7.32,7.17,6.00
2025-09-28,,,,5.30,1.10,0.30,64.50,48.80,0.00,0.00,,,0.00,33.80,27.10,25.30,28.60,,,,,7.33,7.22,5.79
2025-09-29,,78.00,67.59,6.40,1.60,0.50,57.10,48.90,0.00,,,,0.00,36.00,26.30,25.60,28.90,,,,59990.00,7.48,7.22,6.00
2025-09-30,,,,6.30,4.80,0.30,52.20,50.80,0.00,0.21,,,0.00,31.20,25.60,25.40,28.90,,,,,7.32,7.04,6.00
2025-10-01,1.43,66.00,12.53,6.50,2.00,0.40,51.20,49.70,0.00,0.01,261621.00,4000380.00,0.00,27.70,26.80,26.70,28.60,58.99,210,216,18356.00,7.37,7.31,5.80
2025-10-02,,64.00,43.05,8.20,1.80,0.25,50.90,49.00,0.00,0.04,,,0.00,30.40,26.30,25.90,28.50,,,,45909.00,7.36,7.30,6.10
2025-10-03,,65.00,35.23,7.70,1.50,0.30,72.90,54.00,0.00,0.49,,,0.00,30.40,26.10,25.80,24.30,,,,39286.00,7.54,7.38,6.40
2025-10-04,,,,7.50,5.30,0.35,64.8,50.2,0.00,0.02,,,0.00,29.50,25.70,25.30,27.50,,,,,7.52,7.29,6.20
2025-10-05,,,,6.90,5.60,0.40,57.30,47.1,0.00,0.02,,,0.00,31.30,26.30,25.80,27.80,,,,,7.35,7.14,5.90
2025-10-06,,70.00,10.39,5.80,3.60,0.30,76.90,56.90,0.00,0.01,,,1.80,31.20,24.90,24.90,28.30,,,,12819.00,7.08,6.98,6.10
2025-10-07,,22.00,39.64,5.20,2.40,0.40,78.40,74.50,0.00,0.03,,,0.25,30.30,25.50,25.10,27.50,,,,43894.00,7.07,6.82,5.90
2025-10-08,,58.00,19.82,5.60,5.30,0.40,67.70,54.00,0.00,0.05,,,0.00,31.20,25.20,25.70,27.50,,,,21329.00,7.10,6.91,6.90
2025-10-09,,69.00,74.09,3.50,3.90,0.20,67.40,47.90,0.00,0.13,,,0.00,35.30,24.90,25.00,24.50,,,,80028.00,7.11,7.04,5.80
2025-10-10,,,,2.30,3.90,0.30,83.70,50.10,0.00,0.02,,,0.00,36.20,24.60,25.20,26.80,,,,,7.37,7.26,6.33
2025-10-11,,,,2.30,3.70,0.20,88.80,48.10,0.00,0.00,,,0.00,27.60,24.60,25.00,27.10,,,,,7.40,7.35,6.20
2025-10-12,,,,5.70,5.20,0.30,80.20,48.80,0.00,0.08,,,0.00,23.50,24.90,23.40,27.40,,,,,7.41,7.30,6.10
2025-10-13,,,,4.40,2.00,0.30,66.30,49.60,0.00,0.11,,,0.00,25.90,25.40,24.80,27.10,,,,,7.38,7.31,6.00
2025-10-14,,,,2.60,1.20,0.28,60.80,48.50,0.00,0.00,,,0.00,31.80,25.30,25.00,27.10,,,,,7.31,7.28,6.00
2025-10-15,,,,5.10,4.60,0.30,56.40,48.60,0.00,0.04,,,0.00,27.70,24.80,25.00,27.10,,,,,7.80,7.23,5.90
2025-10-16,,,,5.50,3.10,0.30,50.30,46.30,0.00,0.00,,,0.00,27.10,25.10,25.20,27.30,,,,,7.40,6.93,5.50
2025-10-17,,,,2.40,5.40,0.23,53.00,46.40,0.00,0.09,,,0.00,27.40,25.50,25.40,28.70,,,,,7.30,7.19,5.80
2025-10-18,,,,2.90,5.50,0.30,59.20,46.30,0.00,0.00,,,0.37,27.80,25.50,25.10,26.80,,,,,7.22,6.96,5.72
2025-10-19,,,,5.20,4.90,0.40,58.30,49.50,0.00,0.03,,,0.00,28.10,24.70,23.70,26.70,,,,,7.32,7.21,5.70
2025-10-20,,,,3.10,4.40,0.35,54.60,48.50,0.00,0.60,,,0.00,27.70,23.60,23.90,26.00,,,,,7.40,7.19,5.71
2025-10-21,,,,4.20,3.70,0.30,50.40,46.30,0.00,0.02,,,0.00,27.70,24.00,24.30,26.30,,,,,7.15,7.08,5.53
2025-10-22,,,,4.30,4.30,0.30,60.90,46.30,0.00,0.16,,,0.00,27.60,23.40,23.70,26.10,,,,,7.16,6.84,5.72
2025-10-23,,,,2.90,4.70,0.30,59.60,49.10,0.00,0.30,,,0.00,27.40,23.70,24.00,25.00,,,,,7.25,7.15,6.40
2025-10-24,,,,1.40,2.65,0.23,58.30,48.90,0.00,0.84,,,0.00,27.10,23.10,23.30,25.00,,,,,7.55,7.29,6.36
2025-10-25,,,,4.30,4.10,0.27,60.20,48.00,0.00,0.47,,,0.93,27.00,23.50,23.80,26.20,,,,,7.35,7.26,6.00
2025-10-26,,,,1.60,1.70,0.30,85.00,77.00,0.00,0.34,,,1.37,24.00,22.30,21.80,25.20,,,,,6.09,6.00,5.80
2025-10-27,,,,6.00,3.90,0.35,75.90,66.50,0.00,0.22,,,0.02,19.60,21.83,21.10,25.20,,,,,7.02,68.3,6.20
2025-10-28,,,,3.40,5.32,0.30,56.5,49.3,0.00,0.04,,,0.71,24.30,22.18,21.28,24.6,,,,,5.91,5.11,5.47
2025-10-29,,,,4.50,0.50,0.33,96.50,82.50,0.00,0.02,,,1.09,24.30,19.8,20.55,24.0,,,,,5.94,5.70,5.84
2025-10-30,,,,6.10,3.45,0.50,94.00,68.30,0.00,0.02,,,0.00,24.40,19.93,20.53,22.9,,,,,7.06,6.99,4.74
2025-10-31,,,,6.80,5.30,0.40,69.70,50.90,0.00,0.00,,,0.00,22.60,21.30,21.40,23.50,,,,,7.26,7.12,5.80
2025-11-01,0.00,,,4.70,2.80,0.80,55.50,48.20,0.00,0.09,0.00,0.00,0.03,22.60,23.40,21.80,24.70,0.00,0.00,0.00,,7.29,7.18,5.78
2025-11-02,,,,5.10,6.00,0.40,58.70,51.00,0.00,0.03,,,0.00,23.20,19.80,20.10,24.20,,,,,7.39,7.26,6.40
2025-11-03,,,,4.30,4.20,0.40,58.00,52.00,0.00,0.06,,,0.00,23.20,20.55,21.40,24.50,,,,,7.45,7.33,6.28
2025-11-04,,,,1.40,3.00,0.35,55.10,47.70,0.00,0.04,,,0.00,24.10,20.80,22.20,25.20,,,,,7.48,7.17,6.06
2025-11-05,,,,3.00,3.60,0.30,57.30,48.30,0.00,0.01,,,0.00,24.40,23.20,23.20,21.30,,,,,7.39,7.12,5.70
2025-11-06,,,,3.70,3.80,0.30,62.80,47.50,0.00,0.04,,,0.00,24.60,24.00,23.70,25.50,,,,,7.34,7.18,5.81
2025-11-07,,,,4.10,3.60,0.40,57.10,47.50,0.00,0.02,,,0.00,24.30,23.30,24.00,25.70,,,,,7.39,7.09,5.44
2025-11-08,,,,3.30,2.00,0.35,58.90,49.40,0.00,0.00,,,0.00,24.20,24.10,24.30,23.40,,,,,7.38,7.20,5.48
2025-11-09,,,,1.90,3.80,0.40,55.90,49.60,0.00,0.00,,,0.00,24.00,21.80,20.70,25.20,,,,,7.35,7.29,6.00
2025-11-10,,,,4.50,4.60,0.28,55.00,50.50,0.00,0.01,,,0.00,24.30,20.60,18.20,25.20,,,,,7.40,7.34,6.50
2025-11-11,,,,2.40,4.80,0.30,52.70,48.40,0.00,0.00,,,0.00,24.00,19.10,19.90,14.60,,,,,7.37,7.21,5.55
2025-11-12,,,,3.00,2.10,0.30,52.80,47.90,0.00,0.00,,,0.00,24.20,21.60,22.50,24.00,,,,,7.29,7.11,5.30
2025-11-13,,,,2.60,2.80,0.40,52.10,47.20,0.00,0.00,,,0.00,23.90,23.10,23.60,24.80,,,,,7.22,7.03,5.60
2025-11-14,,,,2.40,2.60,0.40,58.70,50.50,0.00,0.00,,,0.00,23.60,23.80,24.00,25.10,,,,,7.37,7.04,5.40
2025-11-15,,,,3.80,1.20,0.27,59.70,48.10,0.00,0.00,,,0.00,23.90,24.10,24.30,25.40,,,,,7.47,7.15,5.30
2025-11-16,,,,2.60,3.20,0.30,59.80,45.30,0.00,0.00,,,0.00,24.00,23.90,23.80,25.70,,,,,7.20,7.11,5.47
2025-11-17,,,,3.90,3.50,0.30,48.4,45.00,0.00,0.01,,,0.01,24.00,22.50,21.10,24.50,,,,,7.25,6.88,5.53
2025-11-18,,,,2.80,3.20,0.20,61.6,47.9,0.00,0.02,,,0.00,24.40,23.6,23.5,24.8,,,,,7.80,7.18,6.00
2025-11-19,,,,2.30,1.10,0.20,48.40,46.10,0.00,0.00,,,0.00,23.60,24.20,24.40,26.10,,,,,7.47,7.29,5.69
2025-11-20,,,,2.30,1.20,0.30,108.90,70.50,0.00,0.00,,,1.80,23.70,23.70,24.00,25.80,,,,,7.38,6.97,5.60
2025-11-21,,,,2.10,1.30,0.20,83.80,71.90,0.00,0.00,,,0.31,23.80,22.80,22.90,24.00,,,,,7.20,6.80,5.80
2025-11-22,,,,2.30,1.30,0.12,69.00,50.80,0.00,0.02,,,0.00,23.70,23.15,23.27,25.20,,,,,7.24,7.09,5.97
2025-11-23,,,,6.90,2.50,0.22,55.60,49.80,0.00,0.00,,,0.00,24.80,22.17,21.47,24.80,,,,,7.27,7.11,4.72
2025-11-24,,,,8.00,4.60,0.40,74.70,54.70,0.00,0.03,,,0.92,23.70,22.40,19.40,25.00,,,,,7.37,7.24,5.80
2025-11-25,,,,2.50,1.10,0.20,89.00,78.20,0.00,0.02,,,0.07,15.90,22.30,21.70,23.90,,,,,7.34,7.04,5.90
2025-11-26,,,,3.00,1.40,0.20,65.70,54.20,0.00,0.01,,,0.00,23.50,20.30,21.40,22.90,,,,,7.17,7.06,6.00
2025-11-27,,,,1.10,1.30,0.30,60.40,52.50,0.00,0.04,,,0.00,24.00,20.50,21.00,23.60,,,,,7.20,7.18,6.00
2025-11-28,,,,0.90,1.60,0.80,57.70,46.40,0.00,0.00,,,0.00,23.80,20.30,21.30,23.20,,,,,7.28,7.05,5.40
2025-11-29,,,,3.20,2.60,0.35,65.30,52.31,0.00,0.00,,,0.22,23.90,19.50,20.40,23.20,,,,,7.35,7.11,6.00
2025-11-30,,,,8.70,4.20,0.30,54.50,52.31,0.00,0.16,,,0.00,23.60,19.50,20.70,22.90,,,,,7.20,7.08,5.80
2025-12-01,2.74,,,3.80,6.00,0.70,63.10,55.60,0.00,0.00,140742.00,904005.00,0.75,24.40,18.25,18.48,21.60,32.86,100.00,94.00,,7.44,6.80,6.06
2025-12-02,,65.00,15.08,3.00,3.00,0.90,81.6,69.3,0.00,0.02,,,0.00,23.70,18.00,17.60,17.3,,,,18851.00,7.41,7.13,5.80
2025-12-03,,72.00,9.76,3.60,2.00,0.40,67.9,58.2,0.00,0.32,,,0.00,24.30,18.3,19.6,21.60,,,,12490.00,7.31,7.22,5.50
2025-12-04,,72.00,5.60,2.70,1.40,0.30,62.29,55.60,0.00,0.00,,,0.24,23.60,16.20,19.50,22.10,,,,6747.00,7.41,7.17,5.90
2025-12-05,,,,4.40,2.00,0.50,72.00,58.50,0.00,0.00,,,0.00,23.50,18.90,19.40,21.70,,,,,7.38,7.11,6.20
2025-12-06,,,,2.20,1.52,0.20,63.90,53.30,0.00,0.00,,,0.00,23.40,18.80,18.90,22.60,,,,,7.43,7.25,6.47
2025-12-07,,,,4.80,1.90,0.40,59.30,51.85,0.00,0.43,,,0.00,23.20,19.20,19.80,22.50,,,,,7.29,7.04,6.00
2025-12-08,,73.00,10.31,5.30,1.42,0.53,76.20,61.30,0.00,0.00,,,0.00,23.00,19.60,19.30,22.20,,,,11725.00,7.32,6.95,6.34
2025-12-09,,73.00,3.46,1.60,1.30,0.40,62.80,47.40,0.00,0.28,,,0.00,23.30,18.65,19.98,23.40,,,,4063.00,7.43,7.14,6.24
2025-12-10,,,,3.00,1.20,0.53,62.00,48.75,0.00,0.39,,,0.00,23.20,19.78,19.93,23.10,,,,,7.33,7.22,6.16
2025-12-11,,,,2.00,2.40,0.70,59.10,48.50,0.00,0.00,,,0.00,22.90,19.90,21.10,22.50,,,,,7.47,7.14,6.00
2025-12-12,,75.00,18.55,3.00,4.10,0.48,75.10,57.50,0.00,1.00,,,0.00,22.70,20.30,20.68,22.00,,,,44445.00,7.29,7.06,6.20
2025-12-13,,,,3.50,4.20,0.30,48.5,43.8,0.00,0.00,,,0.00,22.8,18.50,20.3,21.70,,,,,7.420,7.19,6.10
2025-12-14,,,,8.50,6.40,0.50,56.60,56.00,0.00,0.00,,,0.00,22.70,14.5,17.3,20.80,,,,,7.61,7.47,6.30
2025-12-15,,,,7.40,5.60,0.50,72.00,54.55,0.00,0.00,,,0.00,23.00,18.50,18.00,21.70,,,,,7.22,7.67,6.50
2025-12-16,,,,4.80,5.00,0.35,62.00,50.10,0.00,0.63,,,0.00,22.70,18.40,20.00,22.50,,,,,7.27,7.09,5.80
2025-12-17,,,,4.10,4.80,0.90,80.50,49.80,0.00,1.46,,,0.23,22.90,19.00,19.53,21.50,,,,,7.32,6.94,5.33
2025-12-18,,,,6.00,5.60,0.40,59.50,50.60,0.00,0.63,,,0.29,22.70,20.50,21.30,22.4,,,,,7.37,6.98,5.60
2025-12-19,,73.00,8.37,8.30,5.70,0.40,62.30,49.60,0.00,0.66,,,0.00,24.30,19.60,19.60,23.40,,,,9872.00,7.33,7.24,6.00
2025-12-20,,,,7.7,6.70,0.40,53.50,47.10,0.00,0.77,,,0.00,22.70,19.10,19.40,21.5,,,,,7.41,7.30,5.90
2025-12-21,,,,7.50,5.60,0.67,61.30,44.90,0.00,0.10,,,0.00,22.50,19.20,20.40,21.70,,,,,7.60,7.37,5.80
2025-12-22,,66.00,15.13,7.60,5.80,0.40,54.20,45.50,0.00,1.01,,,0.00,23.58,20.40,21.10,21.50,,,,20702.00,7.50,7.41,6.40
2025-12-23,,,,7.10,5.40,0.70,53.80,47.60,0.00,1.04,,,0.02,22.50,22.00,21.90,22.80,,,,,7.40,7.36,6.23
2025-12-24,,,,6.90,5.60,0.60,57.20,46.30,0.00,0.89,,,0.00,22.60,22.60,22.40,23.50,,,,,7.52,7.46,6.23
2025-12-25,,,,7.90,6.10,1.30,53.80,43.75,0.00,1.10,,,0.00,22.50,22.40,22.20,23.60,,,,,7.54,7.47,6.32
2025-12-26,,,,8.00,6.20,0.95,52.80,40.90,0.00,0.81,,,0.00,22.35,22.60,22.10,23.00,,,,,7.57,7.40,6.20
2025-12-27,,,,7.20,5.70,0.70,60.50,48.50,0.00,1.05,,,0.00,23.05,22.60,22.00,23.50,,,,,7.50,7.35,6.00
2025-12-28,,,,3.90,3.40,0.60,62.90,50.35,0.00,0.76,,,0.22,22.29,22.60,22.70,23.30,,,,,7.43,7.23,6.00
2025-12-29,,69.00,10.24,4.68,2.80,1.60,57.90,46.40,0.00,0.76,,,0.00,22.21,18.40,19.70,20.10,,,,11847.00,7.30,7.15,5.90
2025-12-30,,,,4.80,5.00,1.30,60.10,47.10,0.00,1.34,,,0.00,22.25,16.10,19.20,19.50,,,,,7.32,7.01,6.10
2025-12-31,,,,4.88,3.00,1.80,57.20,47.90,0.00,1.38,,,0.00,22.54,18.92,20.30,18.70,,,,,7.21,7.13,5.98
