SampledDate,% Volatile Suspended Solids,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2025-08-01,92,43,377,349,7.70
2025-08-02,99,93,310,308,7.71
2025-08-03,99,77,206,204,7.63
2025-08-04,98,82,216,213,7.54
2025-08-05,90,41,313,282,7.68
2025-08-06,94,56,251,235,7.68
2025-08-07,88,73,176,155,7.89
2025-08-08,92,128,233,215,7.77
2025-08-09,86,60,243,208,7.47
2025-08-10,93,<60,274,256,7.62
2025-08-11,92,45,288,266,7.88
2025-08-12,95,57,328,310,7.87
2025-08-13,93,51,2170,2015,7.79
2025-08-14,92,62,239,220,7.71
2025-08-15,93,63,205,191,7.80
2025-08-16,86,48,313,270,7.59
2025-08-17,90,72,176,158,7.49
2025-08-18,99,249,239,237,7.14
2025-08-19,86,68,347,297,7.77
2025-08-20,93,46,401,373,7.74
2025-08-21,94,73,283,265,7.69
2025-08-22,91,168,350,318,7.49
2025-08-23,96,84,290,278,7.55
2025-08-24,93,38,252,235,7.59
2025-08-25,90,103,195,175,7.49
2025-08-26,90,74,246,222,7.56
2025-08-27,95,206,285,270,7.51
2025-08-28,87,195,235,205,7.68
2025-08-29,97,>231,323,313,7.76
2025-08-30,91,118,343,311,7.71
2025-08-31,88,46,127,111,7.67
2025-09-01,95,124,376,356,7.77
2025-09-02,93,157,379,353,7.86
2025-09-03,87,199,124,107,7.72
2025-09-04,92,178,185,170,7.22
2025-09-05,97,189,570,553,7.62
2025-09-06,92,90,570,523,7.66
2025-09-07,90,71,298,268,7.67
2025-09-08,96,56,108,104,7.65
2025-09-09,96,171,108,104,7.56
2025-09-10,92,62,370,340,7.32
2025-09-11,90,117,332,300,7.23
2025-09-12,96,118,497,477,7.61
2025-09-13,96,100,500,480,7.55
2025-09-14,96,186,543,520,7.51
2025-09-15,99,121,167,165,7.75
2025-09-16,91,142,187,170,7.54
2025-09-17,97,222,143,139,7.79
2025-09-18,92,294,1115,1030,7.45
2025-09-19,91,202,957,867,7.35
2025-09-20,90,166,893,803,7.46
2025-09-21,92,58,690,637,7.68
2025-09-22,95,152,473,450,7.71
2025-09-23,87,135,633,550,7.62
2025-09-24,86,104,2597,2233,7.64
2025-09-25,80,126,580,467,7.40
2025-09-26,95,93,793,753,7.55
2025-09-27,87,125,1260,1095,7.63
2025-09-28,92,147,727,667,7.85
2025-09-29,94,80,115,108,7.89
2025-09-30,90,59,370,333,7.70
2025-10-01,72,64,732,530,7.72
2025-10-02,87,54,88,76,7.80
2025-10-03,93,379,313,292,7.09
2025-10-04,85,79,189,161,7.76
2025-10-05,85,46,390,332,7.77
2025-10-06,87,90,422,368,6.69
2025-10-07,88,50,267,236,7.44
2025-10-08,80,119,248,199,7.64
2025-10-09,82,98,363,297,7.62
2025-10-10,80,84,444,354,7.74
2025-10-11,85,73,382,324,7.83
2025-10-12,87,55,261,228,7.79
2025-10-13,88,69,186,164,7.90
2025-10-14,97,76,204,197,7.76
2025-10-15,95,80,343,325,7.72
2025-10-16,94,164,182,172,7.21
2025-10-17,92,45,247,229,7.72
2025-10-18,95,106,264,251,7.43
2025-10-19,87,186,213,186,7.52
2025-10-20,90,181,188,170,7.27
2025-10-21,87,68,131,114,7.66
2025-10-22,94,193,133,125,7.13
2025-10-23,93,273,191,177,7.31
2025-10-24,93,114,155,144,7.76
2025-10-25,58,103,404,236,7.68
2025-10-26,90,191,280,252,7.38
2025-10-27,90,75,186,167,7.38
2025-10-28,94,73,117,110,7.55
2025-10-29,98,275,208,204,7.40
2025-10-30,73,61,190,138,7.62
2025-10-31,70,78,124,88,7.68
2025-11-01,82,153,291,240,7.51
2025-11-02,92,202,508,468,7.61
2025-11-03,82,230,168,138,7.67
2025-11-04,84,281,440,370,7.45
2025-11-05,84,205,430,360,7.51
2025-11-06,85,120,203,173,7.57
2025-11-07,89,191,213,189,7.46
2025-11-08,79,172,228,180,7.40
2025-11-09,93,223,323,300,7.45
2025-11-10,87,>228,330,288,6.35
2025-11-11,89,186,259,230,7.33
2025-11-12,94,227,238,224,7.16
2025-11-13,85,310,175,148,7.10
2025-11-14,98,281,142,138,6.42
2025-11-15,91,>375,167,152,7.26
2025-11-16,85,286,194,165,7.41
2025-11-17,98,376,112,109,6.87
2025-11-18,94,302,227,213,7.44
2025-11-19,96,345,197,190,7.20
2025-11-20,95,246,160,151,7.23
2025-11-21,86,173,372,320,7.12
2025-11-22,85,163,243,206,7.25
2025-11-23,93,183,151,141,7.60
2025-11-24,99,315,191,189,7.27
2025-11-25,95,292,260,246,7.15
2025-11-26,89,142,393,351,7.41
2025-11-27,89,200,324,290,7.56
2025-11-28,85,125,268,228,7.43
2025-11-29,95,144,307,291,7.70
2025-11-30,79,133,373,293,7.65
2025-12-01,80,332,890,715,7.51
2025-12-02,92,295,825,760,7.26
2025-12-03,83,305,375,313,7.50
2025-12-04,88,304,390,345,7.45
2025-12-05,92,197,450,415,7.66
2025-12-06,85,185,353,300,7.66
2025-12-07,89,139,358,318,7.71
2025-12-08,89,268,363,323,7.77
2025-12-09,91,335,542,494,7.61
2025-12-10,89,263,402,356,7.56
2025-12-11,82,325,564,460,7.49
2025-12-12,88,209,284,250,7.48
2025-12-13,96,186,238,228,7.53
2025-12-14,77,145,240,184,7.57
2025-12-15,88,106,131,115,7.50
2025-12-16,87,192,184,160,7.34
2025-12-17,86,272,208,178,7.32
2025-12-18,89,247,218,193,7.50
2025-12-19,95,214,280,265,7.54
2025-12-20,96,149,218,210,7.57
2025-12-21,83,202,134,112,7.48
2025-12-22,91,138,163,148,7.39
2025-12-23,91,154,316,288,7.56
2025-12-24,92,223,448,412,7.34
2025-12-25,86,137,143,123,7.47
2025-12-26,86,116,138,118,7.45
2025-12-27,87,>144,162,141,7.54
2025-12-28,87,96,138,120,7.45
2025-12-29,99,96,133,132,7.49
2025-12-30,95,90,153,146,7.46
2025-12-31,85,112,266,226,7.52
2026-01-01,82,281,149,121,7.66
2026-01-02,90,126,196,178,7.49
2026-01-03,93,91,210,195,7.37
2026-01-04,86,127,183,158,7.24
2026-01-05,88,121,179,158,7.50
2026-01-06,89,197,206,184,7.44
2026-01-07,83,,203,168,
2026-01-08,86,,173,149,
2026-01-09,96,,424,406,
