SampledDate,% Volatile Suspended Solids,Biochemical Oxygen Demand,Chemical Oxygen Demand,Soluble BOD,TSS - Change in Wt,Total Suspended Solids,Volatile Suspended Solids,pH
2024-06-01,88,598,,496,4.48,1005,885,6.61
2024-06-02,84,584,,378,1.40,572,482,6.51
2024-06-03,85,561,,486,1.64,813,693,6.39
2024-06-04,68,591,,533,2.04,327,223,6.30
2024-06-05,87,622,,364,1.80,444,388,6.39
2024-06-06,88,618,,443,0.81,615,543,6.51
2024-06-07,84,928,,465,0.00,620,523,6.14
2024-06-08,85,830,,350,0.00,830,703,6.43
2024-06-09,84,891,,544,2.35,1065,890,6.35
2024-06-10,85,730,,452,1.69,885,750,6.38
2024-06-11,88,636,,333,0.47,710,623,6.44
2024-06-12,84,777,,626,1.52,1265,1062,6.18
2024-06-13,84,587,,357,0.76,524,440,6.60
2024-06-14,91,622,,563,0.48,414,378,6.50
2024-06-15,89,865,,603,1.33,450,402,7.03
2024-06-16,88,869,,544,0.00,505,443,6.11
2024-06-17,94,705,,484,0.00,550,515,6.11
2024-06-18,79,1136,,300,0.63,636,502,6.06
2024-06-19,87,781,,450,0.38,435,378,6.33
2024-06-20,91,862,,445,0.65,510,463,6.4
2024-06-21,83,775,,525,1.96,510,423,6.27
2024-06-22,80,620,,556,2.47,405,325,6.18
2024-06-23,95,585,,210,3.94,423,403,6.44
2024-06-24,91,726,,583,4.42,565,515,6.23
2024-06-25,87,776,,400,0.52,637,557,6.22
2024-06-26,90,761,,429,1.82,733,663,6.12
2024-06-27,86,648,,393,1.01,660,567,6.31
2024-06-28,84,834,,528,0.80,625,525,6.23
2024-06-29,84,736,,464,2.73,458,383,6.21
2024-06-30,85,680,,476,3.40,490,417,6.26
2024-07-01,89,452,,309,0.35,482,428,6.61
2024-07-02,88,461,,428,0.34,424,371,6.24
2024-07-03,84,1054,,599,1.00,602,506,6.24
2024-07-04,96,648,,391,0.87,383,367,6.24
2024-07-05,82,692,,498,1.41,473,390,6.27
2024-07-06,93,774,,417,1.57,637,590,6.44
2024-07-07,93,611,,741,1.24,603,558,6.55
2024-07-08,89,978,,558,2.35,710,633,6.29
2024-07-09,80,986,,456,0.00,1060,850,6.14
2024-07-10,90,642,,398,3.27,765,685,6.47
2024-07-11,92,776,,415,2.74,730,675,6.29
2024-07-12,72,893,,548,0.63,1060,767,6.42
2024-07-13,86,869,,415,0.35,950,820,6.26
2024-07-14,86,598,,366,0.50,995,855,6.48
2024-07-15,78,851,,454,0.44,1125,880,6.41
2024-07-16,82,847,,534,0.85,1170,960,6.09
2024-07-17,78,563,,390,2.13,940,735,6.57
2024-07-18,91,666,,446,0.00,800,725,6.12
2024-07-19,79,771,,461,0.58,865,680,6.39
2024-07-20,85,876,,500,0.44,1125,960,6.30
2024-07-21,81,716,,279,1.62,925,750,6.42
2024-07-22,81,497,,273,2.22,900,730,6.52
2024-07-23,81,637,,562,1.83,1090,885,6.39
2024-07-24,83,527,,290,2.65,1130,940,6.52
2024-07-25,77,796,,600,1.46,1370,1060,6.24
2024-07-26,89,636,,378,3.55,705,630,6.37
2024-07-27,81,572,,325,0.38,883,713,6.44
2024-07-28,96,537,,510,2.38,840,805,6.39
2024-07-29,78,339,,197,0.00,930,725,6.73
2024-07-30,78,443,,187,0.00,1147,893,6.87
2024-07-31,75,500,,220,0.61,1087,817,6.85
2024-08-01,77,411,,152,0.00,865,670,7.01
2024-08-02,78,440,,245,0.54,925,720,6.84
2024-08-03,79,597,,356,1.19,420,333,6.59
2024-08-04,80,657,,424,0.00,420,338,6.27
2024-08-05,85,850,,504,0.88,565,478,6.11
2024-08-06,88,849,,592,2.74,365,320,6.19
2024-08-07,95,930,,571,2.33,430,410,6.02
2024-08-08,89,725,,479,2.61,383,340,6.43
2024-08-09,85,747,,433,0.87,460,392,6.44
2024-08-10,86,718,,535,0.76,528,456,6.46
2024-08-11,89,628,,405,0.76,437,387,6.41
2024-08-12,81,660,,451,2.51,498,405,6.45
2024-08-13,81,704,,360,1.61,496,400,6.50
2024-08-14,81,567,,306,0.00,487,393,6.43
2024-08-15,88,730,,388,1.48,508,448,6.38
2024-08-16,97,726,,439,3.45,483,470,6.27
2024-08-17,86,686,,470,1.29,620,532,6.47
2024-08-18,90,501,,290,0.00,447,403,6.67
2024-08-19,91,647,,418,0.00,540,490,6.50
2024-08-20,86,667,,365,0.78,645,555,6.39
2024-08-21,87,678,,447,1.33,563,488,6.55
2024-08-22,91,703,,378,0.92,727,660,6.52
2024-08-23,81,749,,450,0.93,720,587,6.28
2024-08-24,82,670,,436,0.90,740,603,6.77
2024-08-25,89,679,,444,0.96,693,617,6.58
2024-08-26,88,688,,339,1.11,450,395,6.21
2024-08-27,88,634,,392,1.54,650,570,6.46
2024-08-28,97,719,,494,0.48,697,677,6.29
2024-08-29,84,643,,394,2.53,527,443,6.46
2024-08-30,89,577,,255,1.09,613,547,6.75
2024-08-31,82,608,,260,2.44,615,503,6.69
2024-09-01,81,478,,293,0.67,596,480,6.77
2024-09-02,81,435,,349,2.58,620,502,6.75
2024-09-03,78,644,,335,1.52,880,687,6.48
2024-09-04,82,748,,457,0.42,790,650,6.45
2024-09-05,81,824,,370,3.33,1200,973,6.30
2024-09-06,99,787,,424,0.51,975,970,6.35
2024-09-07,85,731,,368,1.55,965,820,6.43
2024-09-08,82,909,,557,0.00,1114,914,6.41
2024-09-09,82,845,,354,2.28,1095,895,6.37
2024-09-10,79,555,,392,2.17,920,725,6.24
2024-09-11,82,736,,392,0.79,635,520,6.02
2024-09-12,84,892,,539,1.44,697,583,6.01
2024-09-13,65,265,,181,0.00,280,181,6.30
2024-09-14,72,395,,259,3.13,274,199,6.21
2024-09-15,88,571,,602,0.00,393,345,6.47
2024-09-16,70,335,,121,1.82,275,192,6.46
2024-09-17,77,456,,202,2.46,290,224,6.60
2024-09-18,78,514,,230,0.00,468,366,6.54
2024-09-19,77,617,,422,2.44,410,315,6.29
2024-09-20,84,719,,302,0.52,478,400,6.14
2024-09-21,84,568,,.358,3.23,517,433,6.42
2024-09-22,90,480,,323,0.00,500,450,6.43
2024-09-23,91,517,,321,0.44,573,520,6.56
2024-09-24,78,592,,376,0.36,554,430,6.40
2024-09-25,81,587,,353,2.72,735,595,6.43
2024-09-26,84,717,,531,0.00,600,505,6.28
2024-09-27,76,662,,398,2.26,665,505,6.44
2024-09-28,88,383,,<120,2.16,348,305,6.47
2024-09-29,79,326,,120,0.00,450,355,6.82
2024-09-30,83,274,,196,0.51,281,234,6.74
2024-10-01,84,342,,238,0.00,206,173,6.62
2024-10-02,87,627,,357,1.01,283,247,6.16
2024-10-03,79,709,,538,2.53,395,313,6.00
2024-10-04,88,802,,609,3.79,264,232,6.03
2024-10-05,92,639,,508,0.50,199,183,6.03
2024-10-06,99,430,,231,0.00,220,218,6.28
2024-10-07,91,587,,303,1.15,218,199,6.18
2024-10-08,97,686,,578,1.25,229,221,6.26
2024-10-09,88,785,,691,2.51,249,219,6.06
2024-10-10,92,809,,474,2.78,180,165,6.56
2024-10-11,82,662,,522,1.19,280,228,6.63
2024-10-12,90,681,,569,3.03,275,248,6.65
2024-10-13,99,690,,483,0.67,248,245,6.57
2024-10-14,93,773,,654,2.47,270,252,6.39
2024-10-15,91,721,,427,1.91,262,238,6.28
2024-10-16,85,667,,502,3.27,306,260,6.44
2024-10-17,88,712,,507,0.44,324,286,6.57
2024-10-18,93,586,,372,2.63,285,264,6.61
2024-10-19,98,578,,418,0.60,278,273,6.77
2024-10-20,87,622,,402,0.00,240,209,6.55
2024-10-21,96,659,,337,0.52,241,233,6.26
2024-10-22,84,696,,480,0.38,373,313,6.39
2024-10-23,90,680,,517,0.61,236,211,6.01
2024-10-24,97,885,,592,0.00,320,310,6.39
2024-10-25,96,798,,583,1.30,330,317,6.21
2024-10-26,89,586,,337,2.67,214,191,7.56
2024-10-27,94,582,,418,0.00,233,219,6.26
2024-10-28,91,571,,570,0.99,253,230,6.59
2024-10-29,93,598,,339,2.20,227,212,6.71
2024-10-30,91,410,,211,2.11,190,172,6.59
2024-10-31,95,407,,248,0.78,258,246,6.56
2024-11-01,97,268,,203,2.61,128,124,7.02
2024-11-02,91,367,,247,1.41,142,129,6.50
2024-11-03,87,387,,282,1.91,157,137,6.32
2024-11-04,83,520,,316,0.92,182,151,7.42
2024-11-05,90,707,,495,0.49,205,184,6.18
2024-11-06,74,358,,<120,0.40,249,184,8.62
2024-11-07,72,324,,306,1.44,348,251,6.31
2024-11-08,82,536,,389,2.51,249,204,6.18
2024-11-09,77,565,,438,0.00,407,315,6.07
2024-11-10,84,516,,418,0.33,251,211,6.02
2024-11-11,86,465,,577,1.01,283,244,6.50
2024-11-12,83,585,,320,0.55,362,300,6.49
2024-11-13,87,610,,514,2.01,298,260,6.21
2024-11-14,81,378,,348,2.20,260,210,6.25
2024-11-15,88,509,,376,3.63,322,282,7.01
2024-11-16,88,623,,374,3.23,310,274,6.19
2024-11-17,86,621,,300,4.40,364,312,6.57
2024-11-18,85,649,,321,0.00,374,319,6.44
2024-11-19,93,526,,1248,1.04,320,298,6.33
2024-11-20,88,576,,345,0.00,380,333,6.11
2024-11-21,91,516,,546,1.08,372,338,6.12
2024-11-22,86,615,,419,2.02,330,285,6.33
2024-11-23,89,561,,405,1.89,265,235,6.38
2024-11-24,89,478,,474,1.25,229,204,6.18
2024-11-25,91,551,,49,1.01,283,257,6.39
2024-11-26,89,611,,458,1.05,380,340,6.43
2024-11-27,87,694,,534,1.91,314,274,6.28
2024-11-28,79,494,,336,2.36,318,250,6.69
2024-11-29,99,337,,138,0.00,263,260,6.74
2024-11-30,90,457,,336,3.03,330,298,6.68
2024-12-01,96,471,,338,2.82,237,227,6.36
2024-12-02,88,369,,291,0.66,302,266,6.36
2024-12-03,88,497,,312,3.45,232,204,6.47
2024-12-04,96,441,,394,3.85,208,200,6.23
2024-12-05,99,499,,357,3.45,435,433,6.20
2024-12-06,92,556,,320,0.49,406,372,6.15
2024-12-07,87,578,,324,0.73,457,397,6.56
2024-12-08,94,694,,668,1.28,260,245,7.14
2024-12-09,91,576,,239,2.00,333,303,6.47
2024-12-10,81,398,,>117,0.93,214,173,6.15
2024-12-11,86,405,,308,0.00,210,181,6.33
2024-12-12,91,557,,320,2.86,350,318,6.27
2024-12-13,85,576,,302,1.89,265,225,6.20
2024-12-14,84,588,,211,1.90,300,251,6.28
2024-12-15,82,530,,392,2.13,353,290,6.34
2024-12-16,90,661,,255,2.25,254,229,6.76
2024-12-17,90,651,,245,3.14,318,286,7.49
2024-12-18,83,420,,579,0.58,342,284,7.07
2024-12-19,89,474,,311,2.53,226,200,6.25
2024-12-20,96,559,,506,0.74,225,215,6.11
2024-12-21,98,398,,248,0.63,318,312,6.67
2024-12-22,88,536,,264,3.03,377,331,6.38
2024-12-23,86,627,,383,3.74,374,322,6.64
2024-12-24,93,461,,288,0.00,348,324,6.77
2024-12-25,97,497,,240,1.54,260,252,6.46
2024-12-26,83,497,,388,1.80,334,278,6.65
2024-12-27,84,370,,149,2.92,342,286,6.52
2024-12-28,85,406,,270,0.63,227,193,6.31
2024-12-29,80,255,,190,0.00,220,177,6.56
2024-12-30,94,506,,257,1.82,183,172,6.57
2024-12-31,91,326,,206,1.85,180,164,6.60
2025-01-01,86,332,,230,1.27,226,194,6.53
2025-01-02,97,583,,341,0.97,258,250,6.24
2025-01-03,92,618,,468,0.75,266,244,6.11
2025-01-04,85,487,,228,1.47,340,288,6.36
2025-01-05,87,687,,434,0.00,380,332,6.37
2025-01-06,79,500,,287,0.00,476,376,6.40
2025-01-07,91,501,,272,1.64,174,159,6.63
2025-01-08,87,449,,338,2.76,362,314,6.46
2025-01-09,99,623,,325,1.69,393,390,6.33
2025-01-10,80,534,,366,1.41,426,340,6.33
2025-01-11,78,438,,167,1.55,516,400,6.42
2025-01-12,87,612,,>402,1.55,386,336,6.48
2025-01-13,84,485,,288,1.64,366,308,6.26
2025-01-14,84,492,,,1.00,400,336,6.20
2025-01-15,88,546,,,0.58,428,378,6.18
2025-01-16,93,582,,,0.56,443,413,6.14
2025-01-17,94,564,,,2.61,383,360,6.19
2025-01-18,87,491,,317,0.00,595,520,6.50
2025-01-19,96,457,,,3.61,498,476,6.34
2025-01-20,88,515,,,0.43,388,340,6.26
2025-01-21,88,478,,,0.54,308,272,6.18
2025-01-22,88,576,,,0.39,367,324,6.60
2025-01-23,83,448,,,1.68,358,298,6.23
2025-01-24,81,730,,,1.02,490,398,6.29
2025-01-25,95,468,,,3.36,373,353,6.22
2025-01-26,94,512,,,0.90,278,260,5.93
2025-01-27,92,411,,,0.00,325,298,6.18
2025-01-28,91,500,,244,1.33,300,272,6.18
2025-01-29,86,676,,236,1.68,358,308,6.35
2025-01-30,87,638,,246,0.99,505,440,6.42
2025-01-31,88,500,,,0.72,348,305,6.31
2025-02-01,90,382,,,0.65,194,175,6.23
2025-02-02,87,344,,,1.27,316,274,6.29
2025-02-03,92,445,,>232,1.30,257,237,6.11
2025-02-04,92,452,,>242,1.82,413,380,6.23
2025-02-05,95,455,,,2.33,258,244,6.87
2025-02-06,96,649,,,1.47,272,260,6.10
2025-02-07,89,574,,,0.00,320,285,6.36
2025-02-08,92,456,,,2.49,251,231,6.34
2025-02-09,92,633,,,3.65,430,397,6.25
2025-02-10,88,669,,,1.48,338,297,6.03
2025-02-11,84,777,,,1.40,715,603,6.06
2025-02-12,84,362,,,1.32,217,183,6.23
2025-02-13,89,392,,309,0.88,283,253,6.60
2025-02-14,98,498,,,0.83,303,295,6.21
2025-02-15,85,413,,,1.54,325,277,6.27
2025-02-16,63,216,,,0.37,384,243,6.45
2025-02-17,82,353,,,0.50,199,163,6.47
2025-02-18,97,434,,298,3.23,194,188,6.34
2025-02-19,85,365,,312,1.96,255,216,6.43
2025-02-20,85,473,,265,0.97,258,220,6.55
2025-02-21,96,322,,236,1.85,216,208,6.15
2025-02-22,100,506,,391,1.35,296,296,6.04
2025-02-23,97,372,,202,1.75,228,222,6.55
2025-02-24,88,415,,,3.57,224,198,6.47
2025-02-25,90,580,,111,0.00,270,243,6.23
2025-02-26,93,497,,323,0.68,294,272,6.18
2025-02-27,91,676,,420,1.89,318,288,6.00
2025-02-28,96,495,,,0.00,265,255,6.94
2025-03-01,93,415,,,0.93,134,125,6.63
2025-03-02,88,408,,,0.85,234,206,6.46
2025-03-03,90,703,,411,0.92,311,281,6.19
2025-03-04,93,564,,180,1.82,330,306,6.15
2025-03-05,90,554,,287,2.75,436,394,6.15
2025-03-06,88,869,,454,0.92,545,478,6.27
2025-03-07,92,500,,,1.92,624,572,6.28
2025-03-08,84,398,,,2.60,257,215,6.30
2025-03-09,99,572,,,2.78,360,355,6.22
2025-03-10,94,506,,138,1.23,405,383,6.13
2025-03-11,93,690,,,2.88,520,485,6.24
2025-03-12,92,674,,186,1.87,535,493,6.43
2025-03-13,89,573,,202,0.00,350,310,6.30
2025-03-14,89,643,,,1.41,284,252,6.29
2025-03-15,92,616,,,2.53,316,290,6.41
2025-03-16,88,205,,,1.30,193,169,6.56
2025-03-17,93,425,,,1.75,244,227,6.28
2025-03-18,89,736,,212,0.53,378,336,6.55
2025-03-19,88,663,,,1.16,344,304,6.56
2025-03-20,95,579,,,0.00,340,323,6.62
2025-03-21,94,444,,,4.35,288,270,6.34
2025-03-22,89,525,,,1.21,309,276,7.67
2025-03-23,92,504,,243,1.89,227,209,6.36
2025-03-24,89,542,,142,3.23,266,237,6.37
2025-03-25,93,577,,246,2.04,280,260,6.16
2025-03-26,99,527,,213,2.86,280,278,6.64
2025-03-27,89,772,,217,2.99,447,397,6.29
2025-03-28,84,655,,,0.00,455,380,6.58
2025-03-29,86,494,,182,0.57,438,378,6.24
2025-03-30,91,454,,184,2.19,343,311,6.28
2025-03-31,90,454,,151,3.05,328,296,6.29
2025-04-01,88,694,,532,1.93,518,458,6.27
2025-04-02,87,679,,420,0.00,600,520,6.26
2025-04-03,85,264,,138,0.70,358,305,6.58
2025-04-04,72,200,,41,0.50,166,119,6.64
2025-04-05,81,247,,153,0.59,211,171,6.66
2025-04-06,68,200,,35,3.95,190,130,6.69
2025-04-07,78,228,,140,2.01,186,145,6.52
2025-04-08,89,462,,161,0.00,260,232,6.36
2025-04-09,86,337,,150.15,0.00,240,207,6.53
2025-04-10,84,422,,258,1.06,269,226,6.39
2025-04-11,87,459,,15,0.87,329,286,6.37
2025-04-12,90,505,,78,0.00,487,437,6.28
2025-04-13,85,525,,,1.32,454,384,6.49
2025-04-14,80,627,,307,3.64,550,443,6.43
2025-04-15,83,624,,253,2.51,498,415,6.57
2025-04-16,87,439,,224,1.91,393,343,6.48
2025-04-17,85,395,,,0.00,468,396,6.44
2025-04-18,78,592,,,2.04,490,383,6.44
2025-04-19,84,507,,,1.56,320,270,6.49
2025-04-20,95,558,,,1.69,590,560,6.62
2025-04-21,78,672,,221,1.18,850,665,6.45
2025-04-22,86,563,,228,0.95,525,453,6.53
2025-04-23,87,518,1396,229,2.78,480,417,6.55
2025-04-24,78,561,1296,406,0.00,527,410,6.44
2025-04-25,83,622,1355,,2.84,705,583,6.47
2025-04-26,83,416,,,0.76,328,273,6.44
2025-04-27,91,476,,,1.82,413,375,6.37
2025-04-28,92,366,1330,40,1.59,315,290,6.54
2025-04-29,82,450,693,194,1.52,493,403,6.84
2025-04-30,82,406,1106,243,1.23,405,333,6.75
2025-05-01,90,373,1116,12,0.55,458,410,6.72
2025-05-02,84,443,,,1.59,378,316,6.50
2025-05-03,86,280,,,2.90,230,197,6.82
2025-05-04,71,429,918,,1.12,445,318,6.48
2025-05-05,81,484,1116,>234,3.45,363,295,6.34
2025-05-06,76,443,1228,>233,1.99,378,288,6.44
2025-05-07,83,429,860,219,1.86,403,335,6.37
2025-05-08,88,428,1090,205,1.99,302,266,6.37
2025-05-09,92,474,1438,,1.49,335,308,6.45
2025-05-10,89,450,1509,,0.00,380,340,6.49
2025-05-11,87,483,988,,0.52,386,334,6.59
2025-05-12,78,638,774,286,0.48,697,540,6.47
2025-05-13,71,435,795,217,0.81,496,352,6.33
2025-05-14,93,432,729,255,3.07,326,302,6.48
2025-05-15,85,612,990,205,3.28,488,416,6.43
2025-05-16,82,452,1234,,0.56,358,294,6.38
2025-05-17,90,469,1814,,2.33,344,310,6.46
2025-05-18,88,547,954,,1.35,493,433,6.25
2025-05-19,90,507,650,22,1.32,380,343,6.80
2025-05-20,80,309,224,17,1.20,237,189,6.61
2025-05-21,81,304,692,15,2.10,204,166,6.64
2025-05-22,87,413,993,228,2.08,240,209,6.45
2025-05-23,91,476,,,2.38,336,306,6.48
2025-05-24,88,358,,,3.13,320,283,6.49
2025-05-25,81,200,,,0.65,153,124,6.98
2025-05-26,76,,,,0.00,169,128,
2025-05-27,82,,282,229,1.71,195,159,6.61
2025-05-28,82,,507,,1.96,170,140,
2025-05-29,86,,,,0.00,180,154,
