SampledDate,% Volatile Suspended Solids,Chemical Oxygen Demand,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2024-06-01,82,,566,1935,1590,6.46
2024-06-02,84,,341,690,577,6.91
2024-06-03,90,,463,500,448,6.69
2024-06-04,71,,526,302,213,6.19
2024-06-05,88,,346,346,303,6.79
2024-06-06,85,,439,690,583,6.81
2024-06-07,87,,533,693,600,6.78
2024-06-08,89,,330,568,508,7.06
2024-06-09,86,,554,733,633,6.93
2024-06-10,91,,466,646,588,6.72
2024-06-11,87,,559,958,831,6.54
2024-06-12,84,,622,960,810,6.59
2024-06-13,87,,376,453,394,6.56
2024-06-14,86,,504,428,370,6.62
2024-06-15,88,,513,483,425,6.54
2024-06-16,88,,582,376,332,6.35
2024-06-17,91,,494,520,475,6.61
2024-06-18,78,,350,370,288,6.68
2024-06-19,87,,469,397,347,6.66
2024-06-20,89,,474,503,450,6.56
2024-06-21,86,,514,530,453,6.58
2024-06-22,86,,578,365,313,6.21
2024-06-23,88,,379,400,353,6.81
2024-06-24,90,,568,717,643,6.47
2024-06-25,91,,434,750,680,6.75
2024-06-26,84,,463,793,663,6.64
2024-06-27,92,,375,470,433,6.79
2024-06-28,82,,582,423,347,6.53
2024-06-29,99,,469,367,363,6.54
2024-06-30,99,,493,380,377,6.56
2024-07-01,92,,369,448,412,6.92
2024-07-02,90,,421,402,360,6.52
2024-07-03,88,,569,404,356,6.35
2024-07-04,100,,393,273,273,6.84
2024-07-05,85,,473,600,510,6.60
2024-07-06,96,,427,547,527,6.96
2024-07-07,95,,488,618,588,6.87
2024-07-08,86,,565,710,610,6.77
2024-07-09,83,,449,800,665,6.75
2024-07-10,92,,402,515,473,6.9
2024-07-11,90,,389,475,428,6.77
2024-07-12,83,,467,743,613,6.70
2024-07-13,87,,434,1310,1140,6.74
2024-07-14,95,,392,560,530,6.78
2024-07-15,79,,438,1235,980,6.73
2024-07-16,85,,466,833,710,6.42
2024-07-17,82,,422,713,587,6.72
2024-07-18,80,,470,1485,1185,6.17
2024-07-19,94,,778,815,770,6.61
2024-07-20,86,,526,830,710,6.68
2024-07-21,81,,330,815,660,7.07
2024-07-22,91,,334,875,800,6.88
2024-07-23,79,,557,1250,985,6.53
2024-07-24,85,,275,720,613,6.92
2024-07-25,76,,538,850,643,6.61
2024-07-26,84,,389,723,607,6.92
2024-07-27,78,,316,933,727,7.30
2024-07-28,82,,443,1010,825,6.76
2024-07-29,72,,206,1010,725,7.17
2024-07-30,80,,178,905,725,7.26
2024-07-31,76,,220,1007,767,7.27
2024-08-01,78,,209,777,607,7.35
2024-08-02,81,,199,935,755,7.32
2024-08-03,84,,372,507,427,6.95
2024-08-04,76,,393,393,300,6.81
2024-08-05,80,,528,488,390,6.50
2024-08-06,94,,573,330,310,6.51
2024-08-07,92,,671,350,323,7.42
2024-08-08,60,,451,440,264,6.88
2024-08-09,85,,431,404,342,6.88
2024-08-10,90,,494,430,388,6.81
2024-08-11,90,,386,450,403,6.90
2024-08-12,87,,406,435,380,6.72
2024-08-13,87,,397,360,313,6.94
2024-08-14,80,,352,455,365,6.81
2024-08-15,85,,393,516,440,6.81
2024-08-16,91,,451,530,483,6.73
2024-08-17,86,,505,564,484,6.75
2024-08-18,96,,307,610,583,7.13
2024-08-19,92,,393,487,447,6.94
2024-08-20,86,,359,466,402,6.86
2024-08-21,87,,392,647,563,6.92
2024-08-22,93,,355,560,520,6.95
2024-08-23,97,,448,497,483,6.72
2024-08-24,94,,424,530,500,6.81
2024-08-25,90,,445,770,690,6.93
2024-08-26,86,,355,415,355,6.66
2024-08-27,90,,383,463,417,6.88
2024-08-28,88,,465,680,600,6.80
2024-08-29,81,,388,450,365,6.70
2024-08-30,81,,268,475,383,7.18
2024-08-31,80,,238,406,326,6.96
2024-09-01,85,,187,456,386,7.11
2024-09-02,83,,336,490,408,7.01
2024-09-03,80,,325,920,737,6.92
2024-09-04,84,,445,660,553,6.80
2024-09-05,85,,357,850,723,6.94
2024-09-06,99,,369,550,545,6.87
2024-09-07,98,,323,255,250,6.83
2024-09-08,87,,544,557,487,6.65
2024-09-09,83,,436,803,667,6.83
2024-09-10,91,,404,685,625,6.71
2024-09-11,85,,503,637,543,6.34
2024-09-12,89,,640,250,223,6.29
2024-09-13,70,,190,204,142,6.41
2024-09-14,82,,286,173,141,6.59
2024-09-15,85,,328,355,302,6.82
2024-09-16,70,,123,254,177,6.99
2024-09-17,79,,182,245,194,6.95
2024-09-18,80,,236,407,326,6.95
2024-09-19,83,,415,271,226,6.62
2024-09-20,96,,432,348,333,6.52
2024-09-21,92,,358,385,353,6.74
2024-09-22,87,,320,830,725,6.92
2024-09-23,84,,308,667,557,7.00
2024-09-24,79,,376,516,410,6.98
2024-09-25,79,,431,550,435,6.85
2024-09-26,88,,522,750,660,6.80
2024-09-27,82,,643,800,657,6.57
2024-09-28,72,,129,332,238,6.57
2024-09-29,86,,132,267,228,7.13
2024-09-30,84,,219,277,233,6.90
2024-10-01,88,,251,207,181,6.81
2024-10-02,89,,409,239,212,6.23
2024-10-03,,,456,,,6.38
2024-10-04,82,,568,270,222,6.26
2024-10-05,87,,524,508,440,6.35
2024-10-06,96,,367,168,161,6.60
2024-10-07,95,,435,190,180,6.41
2024-10-08,92,,406,223,204,6.69
2024-10-09,91,,643,201,184,6.09
2024-10-10,88,,658,203,178,6.80
2024-10-11,86,,616,207,178,6.90
2024-10-12,97,,423,187,181,6.90
2024-10-13,89,,471,254,226,6.92
2024-10-14,89,,616,293,261,6.67
2024-10-15,93,,425,236,219,6.24
2024-10-16,87,,512,223,194,6.73
2024-10-17,87,,503,285,249,6.79
2024-10-18,90,,364,278,251,7.02
2024-10-19,91,,436,312,285,7.11
2024-10-20,94,,458,243,227,6.71
2024-10-21,97,,298,216,210,6.58
2024-10-22,84,,467,243,203,6.76
2024-10-23,98,,512,190,186,6.48
2024-10-24,89,,588,345,307,6.78
2024-10-25,89,,615,297,264,6.51
2024-10-26,90,,421,215,193,6.16
2024-10-27,88,,452,239,210,6.62
2024-10-28,91,,473,251,229,6.81
2024-10-29,93,,338,231,215,6.96
2024-10-30,89,,237,187,166,6.91
2024-10-31,87,,232,247,214,6.89
2024-11-01,89,,223,156,138,7.35
2024-11-02,92,,238,158,145,6.83
2024-11-03,91,,368,174,159,6.62
2024-11-04,81,,377,177,143,6.26
2024-11-05,89,,494,215,191,6.20
2024-11-06,75,,266,246,183,6.14
2024-11-07,86,,332,525,450,6.56
2024-11-08,86,,411,222,191,6.44
2024-11-09,81,,449,302,243,6.42
2024-11-10,78,,461,280,218,6.26
2024-11-11,85,,388,326,276,6.81
2024-11-12,86,,360,416,358,6.48
2024-11-13,86,,602,313,268,6.40
2024-11-14,85,,328,211,179,6.39
2024-11-15,85,,333,244,209,6.25
2024-11-16,87,,435,260,227,6.43
2024-11-17,85,,343,386,328,6.91
2024-11-18,86,,355,340,294,6.49
2024-11-19,94,,428,246,231,6.30
2024-11-20,93,,336,382,356,6.54
2024-11-21,92,,357,329,301,6.28
2024-11-22,89,,467,310,277,6.65
2024-11-23,91,,474,273,248,6.61
2024-11-24,97,,575,196,189,6.31
2024-11-25,92,,398,293,269,6.80
2024-11-26,91,,453,354,322,6.74
2024-11-27,81,,453,229,184,6.61
2024-11-28,89,,380,334,296,6.90
2024-11-29,95,,206,206,196,7.05
2024-11-30,95,,336,623,590,6.86
2024-12-01,97,,592,235,228,6.81
2024-12-02,85,,309,417,353,6.75
2024-12-03,89,,415,230,205,6.90
2024-12-04,98,,355,219,214,6.46
2024-12-05,99,,390,243,240,6.18
2024-12-06,99,,425,337,333,6.53
2024-12-07,85,,340,310,262,7.02
2024-12-08,99,,649,233,230,6.16
2024-12-09,95,,287,215,205,6.40
2024-12-10,80,,198,172,138,6.74
2024-12-11,87,,311,219,190,6.68
2024-12-12,88,,346,438,386,6.58
2024-12-13,85,,325,323,276,6.74
2024-12-14,83,,424,300,250,6.66
2024-12-15,95,,409,317,302,7.49
2024-12-16,93,,272,194,180,6.73
2024-12-17,88,,309,300,264,6.44
2024-12-18,84,,455,261,220,6.28
2024-12-19,92,,317,180,166,6.68
2024-12-20,99,,442,251,250,6.08
2024-12-21,99,,242,300,298,7.47
2024-12-22,85,,261,401,341,6.82
2024-12-23,88,,368,322,282,6.94
2024-12-24,89,,255,386,344,7.14
2024-12-25,88,,246,330,292,6.93
2024-12-26,90,,330,270,243,7.01
2024-12-27,75,,248,310,233,6.16
2024-12-28,85,,332,204,174,6.71
2024-12-29,81,,79,213,173,6.76
2024-12-30,84,,258,157,132,6.66
2024-12-31,83,,210,212,176,6.93
2025-01-01,92,,228,191,176,7.07
2025-01-02,97,,352,228,222,6.70
2025-01-03,87,,386,314,272,6.71
2025-01-04,84,,276,283,237,6.75
2025-01-05,82,,516,424,346,6.65
2025-01-06,83,,302,328,272,6.73
2025-01-07,89,,299,283,251,6.58
2025-01-08,92,,355,450,412,6.66
2025-01-09,,,387,,,6.75
2025-01-10,85,,367,300,254,6.77
2025-01-11,82,,192,396,326,6.89
2025-01-12,77,,308,643,495,6.76
2025-01-13,99,,307,460,453,6.76
2025-01-15,84,,,308,258,
2025-01-16,79,,,430,338,
2025-01-17,82,,,283,233,
2025-01-18,80,,379,468,374,6.36
2025-01-19,89,,,436,388,
2025-01-20,82,,,400,328,
2025-01-21,82,,,398,328,
2025-01-22,87,,,455,395,
2025-01-23,94,,,260,245,
2025-01-24,90,,,358,322,
2025-01-25,92,,,372,342,
2025-01-26,92,,,370,342,
2025-01-27,91,,,346,316,
2025-01-28,85,,324,328,278,6.87
2025-01-29,91,,441,588,538,7.02
2025-01-30,88,,743,580,513,6.53
2025-01-31,89,,,410,366,
2025-02-01,96,,,50,48,
2025-02-02,98,,,245,240,
2025-02-03,87,,155,282,246,6.79
2025-02-04,89,,365,292,260,6.15
2025-02-05,89,,,272,242,
2025-02-06,90,,,282,253,
2025-02-07,86,,,433,370,
2025-02-08,89,,,427,382,
2025-02-09,92,,,152,139,
2025-02-10,88,,,252,222,
2025-02-11,87,,,685,595,
2025-02-12,83,,,197,163,
2025-02-13,76,,231,6775,5175,6.59
2025-02-14,82,,,282,230,
2025-02-15,90,,,215,194,
2025-02-16,68,,,126,86,
2025-02-17,78,,,119,93,
2025-02-18,85,,239,127,108,6.14
2025-02-19,85,,309,188,159,6.57
2025-02-20,94,,238,182,171,6.46
2025-02-21,82,,224,250,206,6.06
2025-02-22,65,,451,404,261,5.81
2025-02-23,92,,202,250,230,6.42
2025-02-24,89,,,210,187,
2025-02-25,92,,178,230,211,6.24
2025-02-26,91,,312,251,229,6.16
2025-02-27,95,,354,221,209,6.23
2025-02-28,87,,,228,199,
2025-03-01,90,,,308,278,
2025-03-02,92,,,284,261,
2025-03-03,99,,353,253,249,6.33
2025-03-04,94,,415,299,281,6.39
2025-03-05,96,,246,342,328,6.49
2025-03-06,87,,403,473,410,6.64
2025-03-07,93,,,284,264,
2025-03-08,94,,,205,193,
2025-03-09,94,,,260,244,
2025-03-10,95,,315,480,455,6.05
2025-03-11,90,,399,586,526,6.27
2025-03-12,99,,255,366,364,7.17
2025-03-13,92,,316,257,237,6.38
2025-03-14,77,,,264,203,
2025-03-15,78,,,208,163,
2025-03-16,75,,,173,130,
2025-03-17,91,,,220,200,
2025-03-18,74,,357,393,290,7.62
2025-03-19,94,,,327,307,
2025-03-20,94,,,268,252,
2025-03-21,97,,,250,241,
2025-03-22,96,,,281,270,
2025-03-23,97,,377,180,174,7.03
2025-03-24,89,,357,203,181,6.86
2025-03-25,96,,343,230,220,6.59
2025-03-26,95,,327,675,640,6.41
2025-03-27,82,,398,388,318,6.44
2025-03-28,86,,,368,318,
2025-03-29,78,,313,306,240,6.41
2025-03-30,83,,297,360,298,6.69
2025-03-31,81,,243,294,238,6.79
2025-04-01,97,,349,358,348,6.68
2025-04-02,87,,289,430,373,6.50
2025-04-03,87,,81,520,450,6.88
2025-04-04,66,,<43,141,93,6.99
2025-04-05,74,,150,146,109,6.76
2025-04-06,55,,69,280,153,7.06
2025-04-07,77,,122,175,135,6.71
2025-04-08,85,,156,204,173,6.84
2025-04-09,79,,153.6,228,181,6.94
2025-04-10,79,,263,274,215,6.88
2025-04-11,89,,329,320,285,6.62
2025-04-12,85,,339,273,233,6.52
2025-04-13,79,,,353,280,
2025-04-14,81,,350,523,423,6.57
2025-04-15,83,,324,513,428,6.78
2025-04-16,82,,224,295,243,6.71
2025-04-17,84,,,376,316,
2025-04-18,78,,,660,515,
2025-04-19,77,,,502,388,
2025-04-20,83,,,453,375,
2025-04-21,81,,223,538,438,7.07
2025-04-22,86,,249,483,415,6.80
2025-04-23,66,,330,503,330,6.48
2025-04-24,84,,329,500,420,6.56
2025-04-25,77,,104,700,537,7.74
2025-04-26,84,,,352,294,
2025-04-27,84,,,315,265,
2025-04-28,83,,182,362,302,6.62
2025-04-29,87,,60,340,296,7.88
2025-04-30,78,,<40,480,375,7.98
2025-05-01,84,,129,352,294,7.42
2025-05-02,84,,71,352,294,7.81
2025-05-03,87,,,275,238,
2025-05-04,98,,267,108,105,7.06
2025-05-05,83,,237,381,316,6.67
2025-05-06,86,,86,283,244,7.76
2025-05-07,80,,273,345,278,6.47
2025-05-08,83,,284,352,292,6.51
2025-05-09,78,,120,404,316,7.60
2025-05-10,84,,,424,358,
2025-05-11,98,,,308,303,
2025-05-12,72,,213,320,230,6.62
2025-05-13,85,,236,173,147,6.84
2025-05-14,84,,245,223,187,6.65
2025-05-15,86,462,396,326,280,6.93
2025-05-16,90,,248,200,180,6.71
2025-05-17,83,,,429,356,
2025-05-18,91,,,211,193,
2025-05-19,69,,85,281,194,6.59
2025-05-20,78,,171,150,117,6.70
2025-05-21,85,,153,153,129,6.57
2025-05-22,88,,215,213,187,6.43
2025-05-23,80,,47,360,288,7.79
2025-05-24,80,,,344,276,
2025-05-26,69,,,170,118,
2025-05-27,84,,223,107,90,6.95
2025-05-28,89,,173,108,97,7.02
2025-05-29,,,230,,,6.54
2025-05-30,77,,,231,178,
2025-05-31,83,,,144,119,
2025-06-01,84,,,278,235,
